taken_at	commit	model	effort	incident	turns	input	output	cache_read	cache_write
2026-09-24T19:12:37+00:00	8287c64	claude-opus-5	high	flag-toggled-on	2	4	894	4726	5085
2026-09-24T19:12:37+00:00	8287c64	claude-opus-5	high	no-change-event	3	6	1883	14457	702
2026-09-24T19:12:37+00:00	8287c64	claude-opus-5	high	upstream-dependency	3	6	1187	14473	453
2026-09-24T19:12:37+00:00	8287c64	claude-opus-5	high	unrelated-change	4	8	2179	20167	1087
2026-09-24T19:12:37+00:00	8287c64	claude-opus-5	high	deploy-before-latency	3	6	1250	6038	3347
2026-09-24T19:12:37+00:00	8287c64	claude-opus-5	high	lower-bound-onset	4	8	1469	9347	3847
2026-09-24T19:12:37+00:00	8287c64	claude-opus-5	medium	flag-toggled-on	2	4	1001	9811	0
2026-09-24T19:12:37+00:00	8287c64	claude-opus-5	medium	no-change-event	3	6	1863	14736	423
2026-09-24T19:12:37+00:00	8287c64	claude-opus-5	medium	upstream-dependency	3	6	1259	14768	158
2026-09-24T19:12:37+00:00	8287c64	claude-opus-5	medium	unrelated-change	3	6	2352	14970	540
2026-09-24T19:12:37+00:00	8287c64	claude-opus-5	medium	deploy-before-latency	3	6	2193	9223	234
2026-09-24T19:12:37+00:00	8287c64	claude-opus-5	medium	lower-bound-onset	4	8	1392	12691	503
2026-09-24T19:54:46+00:00	3fbe0de	claude-opus-5	high	flag-toggled-on	2	4	915	9811	0
2026-09-24T19:54:46+00:00	3fbe0de	claude-opus-5	high	no-change-event	3	6	1948	14736	423
2026-09-24T19:54:46+00:00	3fbe0de	claude-opus-5	high	upstream-dependency	3	6	871	14926	0
2026-09-24T19:54:46+00:00	3fbe0de	claude-opus-5	high	unrelated-change	4	8	2212	20563	691
2026-09-24T19:54:46+00:00	3fbe0de	claude-opus-5	high	deploy-before-latency	3	6	1288	9457	0
2026-09-24T19:54:46+00:00	3fbe0de	claude-opus-5	high	lower-bound-onset	4	8	1531	12691	503
2026-09-24T19:54:46+00:00	3fbe0de	claude-opus-5	medium	flag-toggled-on	2	4	1106	9811	0
2026-09-24T19:54:46+00:00	3fbe0de	claude-opus-5	medium	no-change-event	3	6	2011	14736	423
2026-09-24T19:54:46+00:00	3fbe0de	claude-opus-5	medium	upstream-dependency	3	6	1382	14768	439
2026-09-24T19:54:46+00:00	3fbe0de	claude-opus-5	medium	unrelated-change	3	6	2471	14970	540
2026-09-24T19:54:46+00:00	3fbe0de	claude-opus-5	medium	deploy-before-latency	3	6	1205	9223	162
2026-09-24T19:54:46+00:00	3fbe0de	claude-opus-5	medium	lower-bound-onset	4	8	1560	13194	0
2026-09-24T19:54:46+00:00	3fbe0de	claude-sonnet-5	high	flag-toggled-on	2	4	901	9811	0
2026-09-24T19:54:46+00:00	3fbe0de	claude-sonnet-5	high	no-change-event	3	6	2036	14736	423
2026-09-24T19:54:46+00:00	3fbe0de	claude-sonnet-5	high	upstream-dependency	3	6	1554	14768	439
2026-09-24T19:54:46+00:00	3fbe0de	claude-sonnet-5	high	unrelated-change	4	8	2520	20563	691
2026-09-24T19:54:46+00:00	3fbe0de	claude-sonnet-5	high	deploy-before-latency	3	6	1277	9457	0
2026-09-24T19:54:46+00:00	3fbe0de	claude-sonnet-5	high	lower-bound-onset	4	8	1627	12691	503
